State,District,Crop,Season,Area-2024-25,Production-2024-25,Yield-2024-25
Punjab,Fatehgarh Sahib,Nutri/Coarse Cereals,Rabi,0,0.01,3559
Punjab,Fatehgarh Sahib,Nutri/Coarse Cereals,Total,0,0.02,3897
Punjab,Fatehgarh Sahib,Cereals,Kharif,0.88,4.11,4674
Punjab,Fatehgarh Sahib,Cereals,Rabi,0.85,4.47,5245
Punjab,Fatehgarh Sahib,Cereals,Total,1.73,8.58,4955
Punjab,Fatehgarh Sahib,Moong,Summer,0,0,1015
Punjab,Fatehgarh Sahib,Moong,Total,0,0,1015
Punjab,Fatehgarh Sahib,Total Pulses,Total,0,0,1015
Punjab,Fatehgarh Sahib,Total Food Grains,Kharif,0.88,4.11,4674
Punjab,Fatehgarh Sahib,Total Food Grains,Rabi,0.85,4.47,5245
Punjab,Fatehgarh Sahib,Total Food Grains,Summer,0,0,1015
Punjab,Fatehgarh Sahib,Total Food Grains,Total,1.74,8.59,4948
Punjab,Fazilka,Rice,Kharif,1.28,4.29,3349
Punjab,Fazilka,Rice,Total,1.28,4.29,3349
Punjab,Fazilka,Wheat,Rabi,1.97,9.73,4947
Punjab,Fazilka,Wheat,Total,1.97,9.73,4947
Punjab,Fazilka,Maize,Kharif,0,0.02,5605
Punjab,Fazilka,Maize,Total,0,0.02,5605
Punjab,Fazilka,Barley,Rabi,0.01,0.03,3374
Punjab,Fazilka,Barley,Total,0.01,0.03,3374
Punjab,Fazilka,Bajra,Kharif,0,0,948
Punjab,Fazilka,Bajra,Total,0,0,948
Punjab,Fazilka,Shree Anna /Nutri Cereals,Kharif,0,0,948
Punjab,Fazilka,Shree Anna /Nutri Cereals,Total,0,0,948
Punjab,Fazilka,Nutri/Coarse Cereals,Kharif,0.01,0.02,4673
Punjab,Fazilka,Nutri/Coarse Cereals,Rabi,0.01,0.03,3374
Punjab,Fazilka,Nutri/Coarse Cereals,Total,0.01,0.05,3874
Punjab,Fazilka,Cereals,Kharif,1.29,4.31,3355
Punjab,Fazilka,Cereals,Rabi,1.97,9.75,4941
Punjab,Fazilka,Cereals,Total,3.26,14.07,4315
Punjab,Fazilka,Gram,Rabi,0.01,0.01,1136
Punjab,Fazilka,Gram,Total,0.01,0.01,1136
Punjab,Fazilka,Moong,Kharif,0.01,0,557
Punjab,Fazilka,Moong,Summer,0.04,0.04,985
Punjab,Fazilka,Moong,Total,0.05,0.04,910
Punjab,Fazilka,Total Pulses,Total,0.05,0.05,944
Punjab,Fazilka,Total Food Grains,Kharif,1.29,4.32,3337
Punjab,Fazilka,Total Food Grains,Rabi,1.98,9.76,4925
Punjab,Fazilka,Total Food Grains,Summer,0.04,0.04,985
Punjab,Fazilka,Total Food Grains,Total,3.31,14.12,4260
Punjab,Ferozepur,Rice,Kharif,1.87,8.72,4672
Punjab,Ferozepur,Rice,Total,1.87,8.72,4672
Punjab,Ferozepur,Wheat,Rabi,1.87,9.79,5223
Punjab,Ferozepur,Wheat,Total,1.87,9.79,5223
Punjab,Ferozepur,Maize,Kharif,0,0,4234
Punjab,Ferozepur,Maize,Total,0,0,4234
Punjab,Ferozepur,Bajra,Kharif,0,0,945
Punjab,Ferozepur,Bajra,Total,0,0,945
Punjab,Ferozepur,Shree Anna /Nutri Cereals,Kharif,0,0,945
Punjab,Ferozepur,Shree Anna /Nutri Cereals,Total,0,0,945
Punjab,Ferozepur,Nutri/Coarse Cereals,Kharif,0,0.01,1767
Punjab,Ferozepur,Nutri/Coarse Cereals,Total,0,0.01,1767
Punjab,Ferozepur,Cereals,Kharif,1.87,8.73,4666
Punjab,Ferozepur,Cereals,Rabi,1.87,9.79,5223
Punjab,Ferozepur,Cereals,Total,3.75,18.52,4945
Punjab,Ferozepur,Moong,Kharif,0,0,785
Punjab,Ferozepur,Moong,Summer,0.02,0.01,1000
Punjab,Ferozepur,Moong,Total,0.02,0.02,986
Punjab,Ferozepur,Total Pulses,Total,0.02,0.02,986
Punjab,Ferozepur,Total Food Grains,Kharif,1.87,8.73,4664
Punjab,Ferozepur,Total Food Grains,Rabi,1.87,9.79,5223
Punjab,Ferozepur,Total Food Grains,Summer,0.02,0.01,1000
Punjab,Ferozepur,Total Food Grains,Total,3.76,18.53,4928
Punjab,Gurdaspur,Rice,Kharif,1.73,7.04,4072
Punjab,Gurdaspur,Rice,Total,1.73,7.04,4072
Punjab,Gurdaspur,Wheat,Rabi,1.86,8.99,4834
Punjab,Gurdaspur,Wheat,Total,1.86,8.99,4834
Punjab,Gurdaspur,Maize,Kharif,0,0.01,3605
Punjab,Gurdaspur,Maize,Total,0,0.01,3605
Punjab,Gurdaspur,Nutri/Coarse Cereals,Kharif,0,0.01,3605
Punjab,Gurdaspur,Nutri/Coarse Cereals,Total,0,0.01,3605
Punjab,Gurdaspur,Cereals,Kharif,1.73,7.05,4071
Punjab,Gurdaspur,Cereals,Rabi,1.86,8.99,4834
Punjab,Gurdaspur,Cereals,Total,3.59,16.04,4466
Punjab,Gurdaspur,Urad,Kharif,0,0,873
Punjab,Gurdaspur,Urad,Total,0,0,873
Punjab,Gurdaspur,Moong,Summer,0,0,850
Punjab,Gurdaspur,Moong,Total,0,0,850
Punjab,Gurdaspur,Lentil,Rabi,0,0,930
Punjab,Gurdaspur,Lentil,Total,0,0,930
Punjab,Gurdaspur,Total Pulses,Total,0.01,0,869
Punjab,Gurdaspur,Total Food Grains,Kharif,1.73,7.05,4069
Punjab,Gurdaspur,Total Food Grains,Rabi,1.86,8.99,4832
Punjab,Gurdaspur,Total Food Grains,Summer,0,0,850
Punjab,Gurdaspur,Total Food Grains,Total,3.6,16.04,4461
Punjab,Hoshiarpur,Rice,Kharif,0.8,3.44,4319
Punjab,Hoshiarpur,Rice,Total,0.8,3.44,4319
Punjab,Hoshiarpur,Wheat,Rabi,1.46,6.33,4345
Punjab,Hoshiarpur,Wheat,Total,1.46,6.33,4345
Punjab,Hoshiarpur,Maize,Kharif,0.42,1.57,3765
Punjab,Hoshiarpur,Maize,Total,0.42,1.57,3765
Punjab,Hoshiarpur,Nutri/Coarse Cereals,Kharif,0.42,1.57,3765
Punjab,Hoshiarpur,Nutri/Coarse Cereals,Total,0.42,1.57,3765
Punjab,Hoshiarpur,Cereals,Kharif,1.21,5,4129
